Episode,Training Shaped Reward,Avg Test Shaped Reward
1,-10.1,-11.280000000000001
2,-10.4,-10.579999999999998
3,-10.1,-10.959999999999999
4,-11.0,-11.559999999999999
5,-14.3,-10.639999999999999
6,-11.700000000000001,-11.100000000000001
7,-11.3,-11.520000000000001
8,-10.7,-10.48
9,-10.5,-10.360000000000001
10,-10.3,-10.940000000000001
11,-10.8,-10.360000000000001
12,-10.3,-11.16
13,-11.0,-10.16
14,-10.2,-10.68
15,-11.2,-10.64
16,-12.4,-11.2
17,-11.9,-10.520000000000001
18,-12.200000000000001,-10.819999999999999
19,-10.9,-10.98
20,-12.5,-10.8
21,-11.0,-11.120000000000001
22,-13.000000000000002,-10.28
23,-11.0,-10.64
24,-10.7,-11.58
25,-10.6,-10.9
26,-10.5,-10.34
27,-10.3,-12.32
28,-12.3,-10.260000000000002
29,-10.4,-12.1
30,-12.900000000000002,-10.6
31,-11.0,-12.260000000000002
32,-14.4,-10.419999999999998
33,-10.2,-11.280000000000001
34,-10.5,-10.459999999999999
35,-11.9,-10.7
36,-10.3,-11.040000000000001
37,-11.2,-10.66
38,-10.7,-10.879999999999999
39,-10.1,-10.9
40,-10.4,-10.62
41,-10.4,-10.9
42,-10.5,-12.5
43,-12.900000000000002,-11.400000000000002
44,-10.6,-10.919999999999998
45,-11.1,-11.379999999999999
46,-11.3,-7.6
47,-12.0,-11.580000000000002
48,7.099999999999999,-11.520000000000001
49,-10.5,-10.68
50,-11.3,-11.540000000000001
51,-11.5,-7.94
52,-14.5,-8.84
53,-12.5,-11.32
54,-11.700000000000001,-7.44
55,-12.700000000000001,-11.080000000000002
56,-10.5,-7.860000000000001
57,-12.700000000000001,-11.66
58,-11.2,-12.66
59,-11.4,-12.120000000000001
60,-12.8,-7.659999999999999
61,-12.900000000000002,-11.239999999999998
62,-10.6,-7.38
63,-11.5,-11.099999999999998
64,-10.3,-11.499999999999998
65,-11.1,-11.620000000000001
66,-11.1,-12.120000000000001
67,-10.6,-7.8
68,-11.0,-12.98
69,7.199999999999999,-12.0
70,-10.4,-12.239999999999998
71,-13.000000000000002,-13.180000000000001
72,-10.8,-11.899999999999997
73,-10.7,-11.56
74,9.5,-7.24
75,9.3,-3.5599999999999965
76,-12.0,-7.62
77,-12.4,-7.44
78,-12.3,-11.58
79,-11.2,-11.2
80,-13.700000000000003,-11.600000000000001
81,-11.3,-10.92
82,-14.200000000000001,-11.799999999999999
83,-11.6,-8.120000000000001
84,-12.600000000000001,-11.220000000000002
85,-10.8,-11.1
86,7.799999999999999,-7.340000000000001
87,-11.5,-12.719999999999999
88,-12.900000000000002,-12.02
89,-11.1,-7.6800000000000015
90,8.2,-11.12
91,8.2,-7.780000000000001
92,-11.5,-7.640000000000001
93,-10.4,-11.959999999999999
94,-10.8,-7.980000000000001
95,-11.9,-11.360000000000001
96,5.899999999999999,-3.72
97,-11.0,-8.080000000000002
98,9.2,-11.7
99,-16.199999999999996,-11.780000000000001
100,-10.6,-8.2
