Episode,Training Reward,Avg Test Reward
1,13.0,18.6
2,22.0,18.8
3,29.0,25.8
4,15.0,18.8
5,14.0,21.0
6,34.0,20.4
7,16.0,20.4
8,14.0,26.6
9,44.0,17.6
10,49.0,23.4
11,42.0,22.2
12,16.0,16.2
13,43.0,21.2
14,17.0,18.0
15,25.0,34.0
16,34.0,32.4
17,13.0,20.8
18,31.0,23.0
19,27.0,28.0
20,17.0,20.0
21,35.0,20.4
22,13.0,34.8
23,15.0,24.8
24,12.0,21.4
25,25.0,27.2
26,57.0,29.6
27,11.0,22.2
28,13.0,27.6
29,62.0,29.2
30,21.0,17.0
31,15.0,19.8
32,19.0,24.6
33,28.0,35.6
34,26.0,21.4
35,13.0,21.6
36,27.0,18.6
37,13.0,19.4
38,14.0,84.4
39,13.0,84.4
40,10.0,100.6
41,87.0,76.8
42,30.0,63.0
43,129.0,88.0
44,96.0,65.0
45,96.0,96.0
46,81.0,93.0
47,68.0,83.6
48,80.0,88.8
49,76.0,100.6
50,34.0,79.2
51,52.0,99.4
52,84.0,96.4
53,82.0,65.2
54,108.0,83.8
55,86.0,86.0
56,25.0,123.2
57,60.0,78.0
58,54.0,81.0
59,13.0,82.4
60,91.0,74.0
61,95.0,90.8
62,71.0,68.8
63,90.0,113.0
64,103.0,75.0
65,71.0,72.6
66,99.0,100.6
67,79.0,103.0
68,84.0,77.2
69,61.0,84.8
70,115.0,84.2
71,105.0,69.8
72,78.0,63.2
73,61.0,93.6
74,78.0,82.0
75,76.0,89.0
76,110.0,83.0
77,24.0,85.4
78,75.0,76.4
79,64.0,86.4
80,66.0,80.0
81,39.0,50.4
82,20.0,86.8
83,70.0,80.0
84,86.0,70.2
85,145.0,75.4
86,71.0,91.2
87,94.0,70.2
88,111.0,77.8
89,89.0,83.8
90,82.0,92.2
91,106.0,74.8
92,71.0,77.4
93,77.0,105.2
94,109.0,68.8
95,115.0,59.0
96,96.0,83.2
97,98.0,90.4
98,21.0,78.0
99,80.0,89.4
100,96.0,93.2
